,2015,2030,,2030,,,
,2016,2100,,2100,,,
,2017,2285,,2285,,,
,2018,2275,,2275,,,
,2019,2950,,2950,,,
,2020,1595,,1595,,,
,2021,2565,,2565,,,
,2022,6265,,6265,,,
,2023,11685,,11685,,,
,2024,10960,,10960,,,
Sri Lanka,,,,,,,Sri Lanka
,2015,1785,,1785,,,
,2016,1535,,1535,,,
,2017,2150,,2150,,,
,2018,2160,,2160,,,
,2019,2235,,2235,,,
,2020,1340,,1340,,,
,2021,2030,,2030,,,
,2022,2510,,2510,,,
,2023,2710,,2710,,,
,2024,2125,,2125,,,
Brazil,,,,,,,Brazil
,2015,1730,,1730,,,
,2016,1730,,1730,,,
,2017,2760,,2760,,,
,2018,3950,,3950,,,
,2019,5290,,5290,,,
,2020,3695,,3695,,,
,2021,11425,,11425,,,
,2022,7335,,7335,,,
,2023,7225,,7225,,,
,2024,4110,,4110,,,
"Congo, Democratic Republic of the",,,,,,,"Congo, Democratic Republic of the"
,2015,1675,,1675,,,
,2016,2480,,2480,,,
,2017,2355,,2355,,,
,2018,2385,,2385,,,
,2019,2295,,2295,,,
,2020,865,,865,,,
,2021,1820,,1820,,,
,2022,3250,,3250,,,
,2023,5320,,5320,,,
,2024,2225,,2225,,,
Nepal,,,,,,,Nepal
,2015,1525,,1525,,,
,2016,755,,755,,,
,2017,1110,,1110,,,
,2018,1400,,1400,,,
,2019,1410,,1410,,,
,2020,565,,565,,,
,2021,1020,,1020,,,
,2022,1440,,1440,,,
,2023,1760,,1760,,,
,2024,1350,,1350,,,
Australia,,,,,,,Australia
,2015,1470,,1470,,,
,2016,1705,,1705,,,
,2017,1865,,1865,,,
,2018,2175,,2175,,,
,2019,2140,,2140,,,
,2020,1180,,1180,,,
,2021,2080,,2080,,,
,2022,1265,,1265,,,
,2023,1260,,1260,,,
,2024,640,,640,,,
"Ivory Coast, Republic of",,,,,,,"Ivory Coast, Republic of"
,2015,1370,,1370,,,
,2016,1760,,1760,,,
,2017,1405,,1405,,,
,2018,1470,,1470,,,
,2019,1850,,1850,,,
,2020,1195,,1195,,,
,2021,1110,,1110,,,
,2022,2990,,2990,,,
,2023,2585,,2585,,,
,2024,1830,,1830,,,
Ethiopia,,,,,,,Ethiopia
,2015,1355,,1355,,,
,2016,1930,,1930,,,
,2017,1910,,1910,,,
,2018,2025,,2025,,,
,2019,2475,,2475,,,
,2020,1100,,1100,,,
,2021,2150,,2150,,,
,2022,2665,,2665,,,
,2023,3820,,3820,,,
,2024,1975,,1975,,,
Tunisia,,,,,,,Tunisia
,2015,1280,,1280,,,
,2016,1305,,1305,,,
,2017,1430,,1430,,,
,2018,1935,,1935,,,
,2019,1980,,1980,,,
,2020,1435,,1435,,,
,2021,2640,,2640,,,
,2022,4680,,4680,,,
,2023,3470,,3470,,,
,2024,3480,,3480,,,
Germany,,,,,,,Germany
,2015,1275,,1275,,,
,2016,1210,,1210,,,
,2017,1145,,1145,,,
,2018,1280,,1280,,,
,2019,1520,,1520,,,
,2020,785,,785,,,
,2021,1445,,1445,,,
,2022,900,,900,,,
,2023,1155,,1155,,,
,2024,610,,610,,,
Romania,,,,,,,Romania
,2015,1180,,1180,,,
,2016,1360,,1360,,,
,2017,980,,980,,,
,2018,810,,810,,,
,2019,675,,675,,,
,2020,325,,325,,,
,2021,605,,605,,,
,2022,480,,480,,,
,2023,465,,465,,,
,2024,245,,245,,,
"Somalia, Democratic Republic of",,,,,,,"Somalia, Democratic Republic of"
,2015,1160,,1160,,,
,2016,1315,,1315,,,
,2017,1390,,1390,,,
,2018,2145,,2145,,,
,2019,3275,,3275,,,
,2020,1010,,1010,,,
,2021,2075,,2075,,,
,2022,2940,,2940,,,
,2023,5170,,5170,,,
,2024,2930,,2930,,,
Jordan,,,,,,,Jordan
,2015,1115,,1115,,,
,2016,920,,920,,,
,2017,790,,790,,,
,2018,985,,985,,,
,2019,1005,,1005,,,
,2020,535,,535,,,
,2021,950,,950,,,
,2022,1140,,1140,,,
,2023,1265,,1265,,,
,2024,760,,760,,,
Stateless,,,,,,,Stateless
,2015,1040,,1040,,,
,2016,835,,835,,,
,2017,935,,935,,,
,2018,895,,895,,,
,2019,1010,,1010,,,
,2020,525,,525,,,
,2021,1110,,1110,,,
,2022,915,,915,,,
,2023,1080,,1080,,,
,2024,880,,880,,,
Japan,,,,,,,Japan
,2015,995,,995,,,
,2016,1035,,1035,,,
,2017,1085,,1085,,,
,2018,1035,,1035,,,
,2019,1115,,1115,,,
,2020,615,,615,,,
,2021,1405,,1405,,,
,2022,885,,885,,,
,2023,1015,,1015,,,
,2024,600,,600,,,
Poland,,,,,,,Poland
,2015,975,,975,,,
,2016,1000,,1000,,,
,2017,995,,995,,,
,2018,905,,905,,,
,2019,905,,905,,,
,2020,415,,415,,,
,2021,680,,680,,,
,2022,510,,510,,,
,2023,540,,540,,,
,2024,275,,275,,,
Burundi,,,,,,,Burundi
,2015,945,,945,,,
,2016,635,,635,,,
,2017,805,,805,,,
,2018,1090,,1090,,,
,2019,1560,,1560,,,
,2020,805,,805,,,
,2021,1265,,1265,,,
,2022,1580,,1580,,,
,2023,1030,,1030,,,
,2024,795,,795,,,
"South Africa, Republic of",,,,,,,"South Africa, Republic of"
,2015,945,,945,,,
,2016,1070,,1070,,,
,2017,1555,,1555,,,
,2018,1820,,1820,,,
,2019,1790,,1790,,,
,2020,1125,,1125,,,
,2021,1620,,1620,,,
,2022,1745,,1745,,,
,2023,2065,,2065,,,
,2024,1095,,1095,,,
Moldova,,,,,,,Moldova
,2015,925,,925,,,
,2016,1090,,1090,,,
,2017,680,,680,,,
,2018,405,,405,,,
,2019,275,,275,,,
,2020,180,,180,,,
,2021,235,,235,,,
,2022,220,,220,,,
,2023,140,,140,,,
,2024,65,,65,,,
Venezuela,,,,,,,Venezuela
,2015,915,,915,,,
,2016,1010,,1010,,,
,2017,1010,,1010,,,
,2018,1525,,1525,,,
,2019,1580,,1580,,,
,2020,1055,,1055,,,
,2021,2625,,2625,,,
,2022,1545,,1545,,,
,2023,1390,,1390,,,
,2024,1940,,1940,,,
Hong Kong SAR,,,,,,,Hong Kong SAR
,2015,895,,895,,,
,2016,1360,,1360,,,
,2017,1360,,1360,,,
,2018,1525,,1525,,,
,2019,1540,,1540,,,
,2020,1045,,1045,,,
,2021,2295,,2295,,,
,2022,3710,,3710,,,
,2023,7535,,7535,,,
,2024,2905,,2905,,,
Italy,,,,,,,Italy
,2015,880,,880,,,
,2016,1000,,1000,,,
,2017,1065,,1065,,,
,2018,1180,,1180,,,
,2019,1410,,1410,,,
,2020,760,,760,,,
,2021,1720,,1720,,,
,2022,1095,,1095,,,
,2023,1210,,1210,,,
,2024,560,,560,,,
Turkey,,,,,,,Turkey
,2015,870,,870,,,
,2016,920,,920,,,
,2017,1110,,1110,,,
,2018,2080,,2080,,,
,2019,2830,,2830,,,
,2020,2120,,2120,,,
,2021,4625,,4625,,,
,2022,2420,,2420,,,
,2023,2070,,2070,,,
,2024,1540,,1540,,,
Portugal,,,,,,,Portugal
,2015,830,,830,,,
,2016,855,,855,,,
,2017,790,,790,,,
,2018,865,,865,,,
,2019,855,,855,,,
,2020,550,,550,,,
,2021,890,,890,,,
,2022,875,,875,,,
,2023,1005,,1005,,,
,2024,425,,425,,,
Cuba,,,,,,,Cuba
,2015,825,,825,,,
,2016,1115,,1115,,,
,2017,880,,880,,,
,2018,780,,780,,,
,2019,595,,595,,,
,2020,410,,410,,,
,2021,680,,680,,,
,2022,825,,825,,,
,2023,1040,,1040,,,
,2024,485,,485,,,
Hungary,,,,,,,Hungary
,2015,760,,760,,,
,2016,520,,520,,,
,2017,690,,690,,,
,2018,750,,750,,,
,2019,800,,800,,,
,2020,600,,600,,,
,2021,740,,740,,,
,2022,425,,425,,,
,2023,370,,370,,,
,2024,215,,215,,,
Spain,,,,,,,Spain
,2015,730,,730,,,
,2016,650,,650,,,
,2017,675,,675,,,
,2018,720,,720,,,
,2019,660,,660,,,
,2020,395,,395,,,
,2021,920,,920,,,
,2022,580,,580,,,
,2023,655,,655,,,
,2024,370,,370,,,
Mauritius,,,,,,,Mauritius
,2015,715,,715,,,
,2016,550,,550,,,
,2017,725,,725,,,
,2018,560,,560,,,
,2019,795,,795,,,
,2020,420,,420,,,
,2021,690,,690,,,
,2022,1020,,1020,,,
,2023,1155,,1155,,,
,2024,1060,,1060,,,
El Salvador,,,,,,,El Salvador
,2015,660,,660,,,
,2016,625,,625,,,
,2017,720,,720,,,
,2018,680,,680,,,
,2019,735,,735,,,
,2020,465,,465,,,
,2021,850,,850,,,
,2022,645,,645,,,
,2023,555,,555,,,
,2024,325,,325,,,
Senegal,,,,,,,Senegal
,2015,645,,645,,,
,2016,600,,600,,,
,2017,515,,515,,,
,2018,590,,590,,,
,2019,485,,485,,,
,2020,280,,280,,,
,2021,675,,675,,,
,2022,1015,,1015,,,
,2023,930,,930,,,
,2024,675,,675,,,
Taiwan,,,,,,,Taiwan
,2015,625,,625,,,
,2016,790,,790,,,
,2017,795,,795,,,
,2018,955,,955,,,
,2019,1015,,1015,,,
